run,live,limiter,ticks,altered_fraction,worst_joint_altered_fraction,rms_modification_rad,max_modification_rad,distortion_D,limiter_reversals,hard_envelope_clip_fraction,hard_limit_violations,abort_band_first_tick,max_abs_target_rate_rad_s,max_abs_pd_torque_demand_nm,soft_clip_runs_ge3,soft_clip_runs_with_growing_gap
20260921_cc131039b662/F1_20260922T001048Z,True,measured_q@0.175,29,0.8879,1.0,0.8032,2.2332,0.9507,75,0.0086,0,8,8.75,4.38,12,9
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.02,29,0.9511,1.0,0.9379,2.2425,1.1094,34,0.0,0,8,1.0,30.29,12,10
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.035,29,0.8391,1.0,0.7543,1.8075,0.9029,25,0.0057,0,8,1.75,26.33,13,10
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.05,29,0.7471,1.0,0.6041,1.421,0.7287,24,0.0718,0,8,2.5,37.21,11,7
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.075,29,0.6034,1.0,0.447,1.2714,0.5388,21,0.1638,0,8,3.75,37.32,12,8
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.1,29,0.4569,1.0,0.3841,1.2714,0.4538,20,0.2213,0,8,5.0,37.32,8,4
20260921_cc131039b662/F1_20260922T001048Z,True,prev_command@0.175,29,0.3506,0.9655,0.3356,1.2714,0.3661,16,0.2557,0,8,8.75,39.31,3,1
20260921_cc131039b662/F1_20260922T001048Z,True,hard_only,29,0.2557,0.7586,0.303,1.2714,0.2911,0,0.2557,0,8,62.18,39.32,0,0
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+measured_q@0.175,29,0.8046,1.0,0.5636,1.318,2.5574,38,0.0,0,,8.75,4.38,15,7
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.02,29,0.7902,1.0,0.572,1.3327,2.5854,20,0.0,0,,1.0,31.6,12,5
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.035,29,0.592,1.0,0.4494,1.2277,1.9693,14,0.0,0,,1.75,31.6,14,4
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.05,29,0.4741,1.0,0.3583,1.1936,1.4176,14,0.0,0,,2.5,37.21,12,2
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.075,29,0.2902,0.6552,0.2708,1.1686,0.8588,13,0.0,0,,3.75,37.32,10,3
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.1,29,0.1868,0.4828,0.2222,1.1436,0.5963,13,0.0,0,,5.0,37.32,7,0
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+prev_command@0.175,29,0.0948,0.2759,0.1522,1.0686,0.2893,12,0.0,0,,8.75,37.32,4,1
20260921_cc131039b662/F1_20260922T001048Z,True,clip1+hard_only,29,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,62.18,37.32,0,0
20260921_01355b22d9fe/B_20260921T235229Z,False,measured_q@0.175,1555,0.8322,1.0,0.998,2.0848,0.8759,0,0.0,0,3,8.75,4.38,10,10
20260921_01355b22d9fe/B_20260921T235229Z,False,prev_command@0.02,1555,0.3409,1.0,0.716,1.9701,0.6285,3,0.3264,0,3,1.0,17.62,13,12
